Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Ben Bobzien,In,End,20,Germany,Right Winger,"400,000",SV Elversberg,"2. Bundesliga, German",Europe,Germany,Second Tier,1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,351
Ben Bobzien,Out,Start,20,Germany,Right Winger,"400,000",1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,A. Lustenau,"Bundesliga, Austria",Europe,Austria,First Tier,,0,352
Ben Brereton Díaz,In,No,24,Chile,Left Winger,"16,000,000",Blackburn,"Championship, England",Europe,France,Second Tier,Villarreal,"LaLiga, Spain",Top,Spain,First Tier,,0,353
Ben Doak,In,No,17,Scotland,Right Winger,"10,000,000",Liverpool U18,"U18 Premier League, England",Europe,England,Youth League,Liverpool,"Premier League, England",Top,England,First Tier,,0,354
Ben Lhassine Kone,Inside,End,23,Cote d'Ivoire,Central Midfield,"900,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Torino,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,355
Ben Lhassine Kone,Out,Start,23,Cote d'Ivoire,Central Midfield,"900,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Como,"Serie B, Italy",Europe,Italy,Second Tier,,0,356
Ben Pearson,Out,No,28,England,Defensive Midfield,"2,200,000",Bournemouth,"Premier League, England",Top,England,First Tier,Stoke City,"Championship, England",Europe,England,Second Tier,,1500000,357
Beñat Prados,In,End,22,Spain,Central Midfield,"600,000",CD Mirandés,"LaLiga2, Spain",Europe,Spain,Second Tier,Athletic,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,358
Bendegúz Bolla,In,End,23,Hungary,Right-Back,"2,700,000",Grasshoppers,"Super League, Swiss",Europe,Switzerland,First Tier,Wolves,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,359
Bendegúz Bolla,Out,Start,23,Hungary,Right-Back,"2,700,000",Wolves,"Premier League, England",Top,England,First Tier,Servette FC,"Super League, Swiss",Europe,Switzerland,First Tier,,0,360
